block identifier,block size,sequence within block,treatment,rand_id,code
3,8,3,Group 1,1,IS6
3,8,4,Group 2,2,QB3
3,8,5,Group 3,3,OK5
3,8,6,Group 4,4,KJ2
3,8,7,Group 4,5,AX9
3,8,8,Group 1,6,KA1
1,10,1,Group 4,7,MI5
1,10,2,Group 3,8,EY0
1,10,3,Group 3,9,OP1
1,10,4,Group 1,10,IJ1
1,10,5,Group 1,11,NZ8
1,10,6,Group 2,12,IX0
1,10,7,Group 4,13,UU9
1,10,8,Group 3,14,JZ1
1,10,9,Group 3,15,ZI9
1,10,10,Group 2,16,RW1
2,10,1,Group 4,17,US9
2,10,2,Group 1,18,DS0
2,10,3,Group 2,19,YR2
2,10,4,Group 2,20,WW8
2,10,5,Group 3,21,YI6
2,10,6,Group 3,22,PD8
2,10,7,Group 3,23,RM7
2,10,8,Group 1,24,YQ3
2,10,9,Group 4,25,IS6
2,10,10,Group 3,26,QB3
3,10,1,Group 2,27,OK5
3,10,2,Group 3,28,KJ2
3,10,3,Group 4,29,AX9
3,10,4,Group 1,30,KA1
3,10,5,Group 3,31,BG6
3,10,6,Group 3,32,QV8
3,10,7,Group 1,33,WE9
3,10,8,Group 3,34,IK3
3,10,9,Group 2,35,SP6
3,10,10,Group 4,36,KZ2
4,10,1,Group 4,37,DN5
4,10,2,Group 3,38,ST5
4,10,3,Group 2,39,IL7
4,10,4,Group 1,40,ZH2
4,10,5,Group 3,41,BR2
4,10,6,Group 3,42,QN5
4,10,7,Group 1,43,AS0
4,10,8,Group 3,44,VG0
4,10,9,Group 2,45,WD9
4,10,10,Group 4,46,SM3
5,10,1,Group 3,47,PK3
5,10,2,Group 2,48,MK1
5,10,3,Group 3,49,WD8
5,10,4,Group 3,50,KA4
5,10,5,Group 1,51,JX3
5,10,6,Group 4,52,WH1
5,10,7,Group 4,53,UY6
5,10,8,Group 3,54,GT2
5,10,9,Group 2,55,GW2
5,10,10,Group 1,56,PH7
6,10,1,Group 1,57,VF0
6,10,2,Group 2,58,CV7
6,10,3,Group 1,59,JG6
6,10,4,Group 3,60,PM1
6,10,5,Group 3,61,EH4
6,10,6,Group 3,62,BL8
6,10,7,Group 4,63,FX7
6,10,8,Group 3,64,OX3
6,10,9,Group 2,65,OH5
6,10,10,Group 4,66,ZF1
7,10,1,Group 4,67,WY4
7,10,2,Group 1,68,IJ7
7,10,3,Group 4,69,OO3
7,10,4,Group 3,70,ZF9
7,10,5,Group 2,71,BM9
7,10,6,Group 1,72,KG8
7,10,7,Group 3,73,KY3
7,10,8,Group 3,74,OD0
7,10,9,Group 3,75,FC5
7,10,10,Group 2,76,DS8
8,10,1,Group 2,77,PA4
8,10,2,Group 1,78,NZ0
8,10,3,Group 4,79,VM7
8,10,4,Group 3,80,OZ5
8,10,5,Group 2,81,EV3
8,10,6,Group 1,82,GO1
8,10,7,Group 3,83,CR4
8,10,8,Group 3,84,YI0
8,10,9,Group 4,85,CO5
8,10,10,Group 3,86,CG2
9,10,1,Group 3,87,ZC1
9,10,2,Group 1,88,HH8
9,10,3,Group 3,89,OX7
9,10,4,Group 4,90,NO1
9,10,5,Group 3,91,IT5
9,10,6,Group 3,92,CA3
9,10,7,Group 2,93,RL9
9,10,8,Group 2,94,SE7
9,10,9,Group 1,95,ZF0
9,10,10,Group 4,96,SB5
10,10,1,Group 1,97,WD5
10,10,2,Group 3,98,FD0
10,10,3,Group 2,99,VG9
10,10,4,Group 3,100,JO1
10,10,5,Group 4,101,FW9
10,10,6,Group 2,102,WD7
10,10,7,Group 3,103,TH7
10,10,8,Group 4,104,UZ3
10,10,9,Group 1,105,QM2
10,10,10,Group 3,106,YL4
11,10,1,Group 1,107,QI8
11,10,2,Group 4,108,CH1
11,10,3,Group 3,109,ZZ5
11,10,4,Group 3,110,HY0
11,10,5,Group 4,111,JG8
11,10,6,Group 3,112,BW8
11,10,7,Group 1,113,CI1
11,10,8,Group 3,114,JF3
11,10,9,Group 2,115,QI5
11,10,10,Group 2,116,XZ8
12,10,1,Group 2,117,QT4
12,10,2,Group 1,118,HH9
12,10,3,Group 2,119,JZ4
12,10,4,Group 3,120,JQ8
12,10,5,Group 4,121,OK0
12,10,6,Group 4,122,KC5
12,10,7,Group 1,123,BM2
12,10,8,Group 3,124,DT9
12,10,9,Group 3,125,TY8
12,10,10,Group 3,126,JQ9
13,10,1,Group 2,127,YR1
13,10,2,Group 4,128,MO4
13,10,3,Group 2,129,UP8
13,10,4,Group 3,130,JQ1
13,10,5,Group 3,131,NW3
13,10,6,Group 1,132,PB6
13,10,7,Group 4,133,UP1
13,10,8,Group 3,134,RR4
13,10,9,Group 1,135,EM6
13,10,10,Group 3,136,WW4
14,10,1,Group 2,137,XY8
14,10,2,Group 1,138,QX2
14,10,3,Group 3,139,BG4
14,10,4,Group 3,140,MO2
14,10,5,Group 1,141,CD3
14,10,6,Group 3,142,FE3
14,10,7,Group 4,143,QK2
14,10,8,Group 2,144,OX9
14,10,9,Group 3,145,PC1
14,10,10,Group 4,146,JD3
15,10,1,Group 2,147,US6
15,10,2,Group 3,148,QQ9
15,10,3,Group 4,149,UE6
15,10,4,Group 1,150,GG0
15,10,5,Group 3,151,OT9
15,10,6,Group 2,152,XM3
15,10,7,Group 3,153,MY6
15,10,8,Group 3,154,UQ7
15,10,9,Group 4,155,NW6
15,10,10,Group 1,156,PN4
16,10,1,Group 2,157,WP8
16,10,2,Group 1,158,UY9
16,10,3,Group 1,159,DV8
16,10,4,Group 3,160,VG7
16,10,5,Group 4,161,TJ0
16,10,6,Group 2,162,FS4
16,10,7,Group 3,163,HL7
16,10,8,Group 3,164,QI1
16,10,9,Group 4,165,TH9
16,10,10,Group 3,166,KJ1
17,10,1,Group 2,167,DG0
17,10,2,Group 4,168,SH1
17,10,3,Group 1,169,LZ4
17,10,4,Group 3,170,BA4
17,10,5,Group 1,171,QR6
17,10,6,Group 4,172,NF9
17,10,7,Group 3,173,FE8
17,10,8,Group 2,174,MH1
17,10,9,Group 3,175,GS6
17,10,10,Group 3,176,RA2
18,10,1,Group 3,177,KC6
18,10,2,Group 2,178,SX6
18,10,3,Group 1,179,IS2
18,10,4,Group 4,180,PQ5
18,10,5,Group 4,181,OX6
18,10,6,Group 3,182,TM3
18,10,7,Group 2,183,BU0
18,10,8,Group 3,184,OK8
18,10,9,Group 3,185,HH5
18,10,10,Group 1,186,IB3
19,10,1,Group 3,187,KC1
19,10,2,Group 3,188,QK4
19,10,3,Group 1,189,GQ7
19,10,4,Group 2,190,QV5
19,10,5,Group 4,191,FO9
19,10,6,Group 3,192,IL5
19,10,7,Group 1,193,BD1
19,10,8,Group 2,194,IH2
19,10,9,Group 4,195,SB3
19,10,10,Group 3,196,BG9
20,10,1,Group 3,197,YY8
20,10,2,Group 3,198,BA8
20,10,3,Group 3,199,US0
20,10,4,Group 1,200,HK7
20,10,5,Group 4,201,UZ6
20,10,6,Group 2,202,JD7
20,10,7,Group 2,203,AL3
20,10,8,Group 4,204,XW0
20,10,9,Group 3,205,VL4
20,10,10,Group 1,206,BY5
