id_person	id_response	StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	Q1.3	Q1.4	Q1.5	Q2.3	Q2.3_3_TEXT	Q2.4	Q2.4_6_TEXT	Q2.5_1	Q2.5_12	Q2.5_2	Q2.5_13	Q2.5_3	Q2.5_4	Q2.5_5	Q2.5_6	Q2.5_7	Q2.5_8	Q2.5_9	Q2.5_11	Q2.5_10	Q2.5_10_TEXT	Q2.6	Q2.7	Q2.7_5_TEXT	Q2.8_1	Q2.8_2	Q2.8_3	Q2.8_4	Q2.8_5	Q2.8_6	Q2.8_7	Q2.8_8	Q2.8_8_TEXT	Q3.1	Q4.1	Q4.2	Q4.3	Q5.1_1	Q5.1_2	Q5.1_3	Q5.1_4	Q5.1_5	Q5.1_6	Q5.2_1	Q5.2_2	Q5.2_3	Q5.2_4	Q5.2_5	Q5.2_6	Q5.2_7	Q5.3_1	Q5.3_2	Q5.3_3	Q5.3_4	Q5.3_5	Q5.3_6	Q5.3_7	Q5.3_8	Q5.4	Q5.5
36	4	2020-10-19T23:28:51Z	2020-10-19T23:47:43Z	IP Address	100	1132	TRUE	2020-10-19T23:47:43Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Virginia Tech	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Windows	Female	NA	NA	NA	NA	NA	NA	NA	NA	Prefer to self describe	Why does it matter?	Samir Student	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could struggle through by trial and error with a lot of web searches	NA	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Strongly Disagree	Somewhat Agree	Strongly Disagree	Neither Agree nor Disagree	Agree	Strongly Agree	Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Neither Agree nor Disagree	Agree	Strongly Disagree	Neither Agree nor Disagree	To get comfortable with R and learn my way around, and how to run statistical analyses	To be able to manage and analyze big data from analyses such as RNA seq
62	69	2021-09-20T18:07:37Z	2021-09-20T18:12:22Z	IP Address	77	284	FALSE	2021-10-18T01:22:55Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Monday, September 20, 2021: Virtual	NA	Other	National Library of Medicine	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Windows	Gender variant/non-conforming	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Samir Student	I have installed it, but have only done simple examples with them	I have heard of it but don’t remember what it is.	I could struggle through, but not confident I could do it	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	1	2020-10-19T18:18:40Z	2020-10-19T18:29:53Z	IP Address	100	672	TRUE	2020-10-19T18:29:53Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Fralin Biomedical Research Institute at VTC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Windows	Male	NA	NA	Asian (Having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)	NA	NA	NA	NA	NA	NA	NA	Alex Academic	I have heard of them but have never used them before	I have never heard of the term	I could struggle through by trial and error with a lot of web searches	To learn new skills	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	I hope I can load the data into R and do basic analysis from this workshop	I hope I will be able to analyze my data in R
69	2	2020-10-19T19:00:05Z	2020-10-19T19:07:03Z	IP Address	100	418	TRUE	2020-10-19T19:07:04Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Fralin Biomedical Research Institute at VTC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Clare Clinician	I have written a small program with them before	I know what it is and could explain what it pertains to	I could struggle through by trial and error with a lot of web searches	NA	To refresh or review my skills	NA	NA	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	NA	NA
70	3	2020-10-19T20:54:49Z	2020-10-19T20:58:59Z	IP Address	100	250	TRUE	2020-10-19T20:58:59Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Virginia-Maryland College of Veterinary Medicine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	macOS	Prefer not to say	NA	NA	NA	NA	NA	NA	NA	I prefer not to say.	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could struggle through by trial and error with a lot of web searches	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Somewhat Agree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	Somewhat Agree	Agree	Somewhat Disagree	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	NA	NA
71	5	2020-10-20T15:11:55Z	2020-10-20T15:17:50Z	IP Address	100	355	TRUE	2020-10-20T15:17:51Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Fralin Biomedical Research Institute at VTC	NA	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Windows	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could struggle through by trial and error with a lot of web searches	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Agree	Agree	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	I would like to build some more confidence working in R	I'm working on the basic skills I will need to translate into machine learning
72	6	2020-10-20T16:31:22Z	2020-10-20T16:34:00Z	IP Address	100	157	TRUE	2020-10-20T16:34:00Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Virginia-Maryland College of Veterinary Medicine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Samir Student	I have heard of them but have never used them before	I have never heard of the term	I could struggle through by trial and error with a lot of web searches	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	To learn skills that will help me get a job or a promotion	NA	Strongly Agree	Neither Agree nor Disagree	Agree	Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Somewhat Agree	NA	NA
73	7	2020-10-20T16:57:07Z	2020-10-20T17:06:54Z	IP Address	100	587	TRUE	2020-10-20T17:06:55Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, October 20, 2020	NA	Virginia Tech	NA	NA	NA	NA	NA	NA	Analyst	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Windows	Male	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Samir Student	I have small side projects that I program in it	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Somewhat Agree	Somewhat Disagree	Strongly Agree	Agree	NA	Somewhat Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Agree	Somewhat Disagree	Somewhat Agree	Disagree	Strongly Agree	New / more R skills	Data management and SQL
74	8	2021-01-29T14:54:21Z	2021-01-29T15:09:25Z	IP Address	100	903	TRUE	2021-01-29T15:09:25Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	Feb 2, 2021	Other	NINR	NA	NA	RN/PA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Postdoctoral fellow	Windows	Female	NA	NA	NA	Black or African American (Having origins in any of the Black racial groups of Africa – includes Caribbean Islanders and others of African origin.)	NA	NA	NA	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could struggle through by trial and error with a lot of web searches	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Neither Agree nor Disagree	Disagree	Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Somewhat Agree	How to be more confident in my use of R	programing and making plots
75	9	2021-01-29T19:16:09Z	2021-01-29T19:20:56Z	IP Address	100	286	TRUE	2021-01-29T19:20:56Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	OHSU	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Nurse Midwife Faculty/ Assistant Professor	Windows	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	To learn new skills	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	As a requirement for my program or current position	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Agree	Agree	Somewhat Disagree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Somewhat Agree	Somewhat Agree	Disagree	Agree	comfort in using R	start working in my own data in R
76	10	2021-01-30T06:50:57Z	2021-01-30T07:25:56Z	IP Address	100	2098	TRUE	2021-01-30T07:25:56Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	IHME - University of Washington	NA	NA	NA	NA	NA	Analyst	Student (Masters e.g., MPH)	NA	NA	NA	NA	NA	Other, please describe	Actuary, Statistician	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Patricia Programmer	I have small side projects that I program in it	I have heard of it but don’t remember what it is.	I could do it quickly with little or no use of external help	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	To learn skills that will help me get a job or a promotion	NA	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Somewhat Agree	Agree	I hope to clarify ideas about how to make data analysis to be reproducible	I would like to be able to do data analysis in a more direct and straight forward way
77	11	2021-02-01T15:10:42Z	2021-02-01T15:34:52Z	IP Address	100	1449	TRUE	2021-02-01T15:34:52Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	X7 Research	NA	NA	NA	NA	NA	Analyst	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Windows	Male	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I program in them for work	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	To learn skills that will help me get a job or a promotion	NA	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Neither Agree nor Disagree	Agree	Somewhat Agree	Neither Agree nor Disagree	Somewhat Agree	Agree	Agree	Strongly Agree	To be able explain differences between spreadsheet and programm like approaches in clinical research. Also find good example when using of scripts  is not good idea.	Explain joke with real example. Instead of spending 2 hours to solve problem in excel, i lost two day in script debugging
78	12	2021-02-01T21:55:04Z	2021-02-01T21:58:04Z	IP Address	100	179	TRUE	2021-02-01T21:58:04Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	University of Michigan	DO/MD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Male	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I use it to automate certain repetitive tasks	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	NA	NA	NA	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	How to teach tidy data analysis	NA
79	13	2021-02-02T02:49:31Z	2021-02-02T02:55:50Z	IP Address	100	378	TRUE	2021-02-02T02:55:50Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	VCU	DO/MD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Male	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Patricia Programmer	I have small side projects that I program in it	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	NA	To refresh or review my skills	To learn skills that I can apply to my current work	NA	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Agree	Somewhat Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Agree	Neither Agree nor Disagree	Agree	To gain another perspective on data analysis	To be able to develop more reusable data analysis components
80	14	2021-02-02T17:27:56Z	2021-02-02T18:42:27Z	IP Address	100	4471	TRUE	2021-02-02T18:42:35Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	University of Michigan	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Postdoctoral Research Fellow (PhD)	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	Prefer to self describe	I prefer to describe myself as both Middle Eastern and White, rather than only ""White"". I disagree with the convention of including Middle Eastern and North African in the ""White"" category.	Samir Student	I program in them for work	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Agree	Somewhat Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	I work in R: When to source code from a multiple different scripts versus when to just keep it all in a single script. And along those line, just general best practices when using R/tidyverse.	I work in R: How/when to best use functions to clean up my code/pipelines, particularly when plotting (ggplot). I find it hard to modify plots for specific data frames when I have the plot (ggplot) set up as a functions. I feel confused about when to be efficient/tidy with plotting functions. For example, is there a situation where use plotting functions would be inefficient because you have too much to aesthetically modify on the plots? Or can I really achieve all of this plotting aesthetics flexibility while still using a single plotting function?
81	15	2021-02-02T22:08:06Z	2021-02-02T22:14:19Z	IP Address	100	373	TRUE	2021-02-02T22:14:20Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	NIH	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Samir Student	I have small side projects that I program in it	I know what it is and could explain what it pertains to	I could struggle through by trial and error with a lot of web searches	NA	To refresh or review my skills	NA	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Somewhat Disagree	Agree	Neither Agree nor Disagree	Somewhat Agree	Strongly Agree	Strongly Agree	Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Somewhat Agree	Learn to break down problems into smaller pieces and develop a good analysis workflow	finding an efficient workflow to tackle data cleaning
82	16	2021-02-02T22:48:35Z	2021-02-02T22:55:00Z	IP Address	100	385	TRUE	2021-02-02T22:55:01Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	Columbia University	NA	NA	RN/PA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	macOS	Female	NA	NA	Asian (Having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)	NA	NA	NA	NA	NA	NA	NA	Samir Student	I have installed it, but have only done simple examples with them	I have heard of it but don’t remember what it is.	I could struggle through by trial and error with a lot of web searches	To learn new skills	To refresh or review my skills	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Agree	Disagree	Somewhat Agree	Somewhat Agree	Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Somewhat Disagree	Somewhat Disagree	Somewhat Disagree	More knowledge of system and use	Write my own code and implement simple functions
83	17	2021-02-02T23:13:38Z	2021-02-02T23:17:44Z	IP Address	100	246	TRUE	2021-02-02T23:17:44Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	Umichigan	DO/MD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could struggle through by trial and error with a lot of web searches	To learn new skills	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Disagree	Somewhat Disagree	Somewhat Agree	Somewhat Agree	Somewhat Disagree	Somewhat Disagree	Disagree	How to make figures and basic stats in R	NA
84	18	2021-02-02T23:09:39Z	2021-02-02T23:18:14Z	IP Address	100	515	TRUE	2021-02-02T23:18:15Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	University of Michigan	DO/MD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Male	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Samir Student	I have small side projects that I program in it	I know what it is and could explain what it pertains to	I could do it quickly with little or no use of external help	To learn new skills	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Strongly Agree	Agree	Strongly Agree	Strongly Agree	NA	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Agree	NA	NA
85	19	2021-02-02T23:13:18Z	2021-02-03T01:21:41Z	IP Address	100	7702	TRUE	2021-02-03T01:21:41Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Tuesday, February 2, 2021	NA	Other	NA	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	macOS	Female	NA	NA	Asian (Having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)	NA	NA	NA	NA	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have some idea of what it is, but am not too clear	I could do it quickly with little or no use of external help	NA	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Neither Agree nor Disagree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Strongly Agree	Agree	Somewhat Agree	Neither Agree nor Disagree	Somewhat Disagree	Agree	Somewhat Agree	Disagree	Disagree	proper workflow	data cleaning and visualization
86	20	2021-05-14T20:43:33Z	2021-05-14T20:47:53Z	IP Address	100	259	TRUE	2021-05-14T20:47:53Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	May 17	Other	UVA	NA	NA	NA	NA	NA	NA	NA	Student (MD/DO)	NA	NA	NA	NA	NA	NA	macOS	Female	NA	NA	NA	NA	NA	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Clare Clinician	I have heard of them but have never used them before	I have never heard of the term	I could struggle through by trial and error with a lot of web searches	To learn new skills	NA	To learn skills that I can apply to my current work	To learn skills that I can apply to my work in the future	NA	NA	Somewhat Agree	Strongly Disagree	Somewhat Agree	Somewhat Disagree	Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	21	2021-05-15T12:25:13Z	2021-05-15T12:32:25Z	IP Address	100	431	TRUE	2021-05-15T12:32:25Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Other	May 17	Other	UVA Curry School of Education	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Windows	Female	NA	NA	NA	NA	Hispanic or Latino(a) (A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry – includes Portuguese and Brazilians.)	NA	White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)	NA	NA	NA	Alex Academic	I have installed it, but have only done simple examples with them	I have never heard of the term	I could struggle through, but not confident I could do it	To learn new skills	NA	NA	To learn skills that I can apply to my work in the future	NA	NA	Agree	Somewhat Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Somewhat Agree	Strongly Agree	Somewhat Agree	Agree	Somewhat Agree	Disagree	Strongly Disagree	How to use R for data processing	How to use R at all
