id_person	id_response	StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	Q1.3	Q1.4	Q2.3_1	Q2.3_4	Q2.3_5	Q2.3_6	Q2.3_7	Q2.3_8	Q2.3_2	Q2.3_3	Q2.3_3_TEXT	Q2.4_1	Q2.4_12	Q2.4_2	Q2.4_13	Q2.4_3	Q2.4_4	Q2.4_5	Q2.4_6	Q2.4_7	Q2.4_8	Q2.4_9	Q2.4_11	Q2.4_10	Q2.4_10_TEXT	Q3.1_1	Q3.1_2	Q3.1_3	Q3.1_4	Q3.1_5	Q3.1_6	Q3.1_12	Q3.1_13	Q3.1_13_TEXT	Q3.2	Q3.3	Q3.4	Q4.1_1	Q4.1_2	Q4.1_3	Q4.1_4	Q4.1_5	Q4.1_6	Q4.1_7	Q4.2_1	Q4.2_2	Q4.2_3	Q4.2_4	Q4.2_5	Q4.2_6	Q4.2_7	Q4.2_8	Q5.1_1	Q5.1_2	Q5.1_3	Q5.1_4	Q5.1_5	Q5.1_6	Q6.1_1	Q6.1_2	Q6.1_3	Q6.1_4	Q6.1_5	Q6.1_6	Q6.2_1	Q6.2_2	Q6.2_3	Q6.2_4	Q6.2_5	Q6.2_6	Q6.2_6_TEXT	Q6.3	Q6.4	Q6.5	Q6.6
60	9	2021-10-06T14:25:05Z	2021-10-06T14:37:22Z	IP Address	100	737	TRUE	2021-10-06T14:37:22Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	Tuesday, October 20, 2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Improving data management and project organization	NA	NA	NA	NA	NA	NA	NA	NA	I had not been using tools like these	Several times in the last 6 months	I'm more confident now	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	Neutral	Agree	Neutral	Agree	Neutral	Agree	NA	NA	I went back to the video recording for the workshop	I went back to the online written materials for reference	NA	NA	NA	NA	NA	NA	NA
88	3	2021-10-05T00:54:15Z	2021-10-05T01:05:01Z	IP Address	100	646	TRUE	2021-10-05T01:05:02Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Wednesday, December 9, 2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	Daily	Daily	I'm equally confident now	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Neither Agree nor Disagree	Strongly Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	Neutral	Strongly agree	Strongly agree	Neutral	Neutral	Neutral	NA	NA	NA	NA	I did not go back to any of the workshop materials	NA	NA	Not needed. Web searching was more efficient. Materials did not help with more difficult R programming puzzles.	It helped me understand where I was in my mastering of the R language	NA	For me, the workshop scratched the surface of several topics but did not focus on a few enough to meaningfully add to my statistical tool box for everyday practice.
102	7	2021-10-05T12:31:21Z	2021-10-05T12:38:39Z	IP Address	100	438	TRUE	2021-10-05T12:38:40Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	Tuesday, June 29, 2021 - In Person	NA	NA	NA	NA	NA	NA	NA	PhD	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Improving data management and project organization	Developing a data management and analysis plan	Transforming step-by-step workflows into scripts	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	Several times per half-year	Less than once a in the last 6 months	I'm more confident now	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	I went back to the code I wrote for reference	I went back to the code the instructor posted for reference	NA	NA	NA	NA	NA	NA	NA	NA	NA
106	6	2021-10-05T11:54:11Z	2021-10-05T11:58:54Z	IP Address	100	283	TRUE	2021-10-05T11:58:55Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	Tuesday, June 29, 2021 - In Person	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Improving data management and project organization	NA	NA	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	I had not been using tools like these	Daily	I'm more confident now	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Disagree	Somewhat Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Strongly Agree	Agree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	NA	NA	NA	NA	I did not go back to any of the workshop materials	NA	NA	Did not feel the need to	Gave me the background/skills I needed to feel comfortable enough to use R on my own (and know where to start with R)	Really enjoy using R now, can use ggplot comfortably	NA
149	1	2021-06-23T21:16:21Z	2021-06-23T21:34:37Z	IP Address	100	1096	TRUE	2021-06-23T21:34:38Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	Wednesday, December 9, 2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Other, please describe	Administrative	NA	NA	NA	NA	NA	NA	None	NA	NA	I had not been using tools like these	I had not been using tools like these	I'm equally confident now	Neither Agree nor Disagree	Strongly Agree	Somewhat Agree	Disagree	Disagree	Neither Agree nor Disagree	Agree	Strongly Disagree	Strongly Disagree	Agree	Neither Agree nor Disagree	Disagree	Disagree	Strongly Disagree	Disagree	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	NA	NA	NA	NA	NA	NA	NA	NA	I am interested in learning more about the tools.	NA	The workshop was very interesting and informative unfortunately I am not able to use the tools due to the nature of my work.
150	2	2021-10-04T21:10:58Z	2021-10-04T21:15:18Z	IP Address	100	259	TRUE	2021-10-04T21:15:18Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	NA	Tuesday, June 29, 2021 - Virtual	NA	NA	NA	NA	NA	RN/PA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	NA	NA	I had not been using tools like these	I had not been using tools like these	I'm equally confident now	Somewhat Agree	Somewhat Disagree	Neither Agree nor Disagree	Somewhat Disagree	Somewhat Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	Disagree	Disagree	Disagree	Disagree	Disagree	Disagree	NA	NA	NA	NA	NA	NA	NA	I haven't had time	I thought the workshop was interesting. I just haven't had a chance to use the information and figure out how to do it.	NA	NA
151	4	2021-10-05T01:05:14Z	2021-10-05T01:07:30Z	IP Address	100	136	TRUE	2021-10-05T01:07:30Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	Tuesday, June 29, 2021 - In Person	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Undergraduate)	NA	NA	NA	Improving data management and project organization	NA	NA	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	Less than once a per half-year	Less than once a in the last 6 months	I'm more confident now	Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Agree	Somewhat Agree	Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	I could struggle through by trial and error with a lot of web searches	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	Agree	Neutral	Agree	Neutral	Agree	Agree	NA	I went back to the code the instructor posted for reference	NA	NA	NA	NA	NA	NA	NA	NA	NA
152	5	2021-10-05T01:50:34Z	2021-10-05T01:57:24Z	IP Address	100	410	TRUE	2021-10-05T01:57:25Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	NA	Tuesday, June 29, 2021 - Virtual	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Student (Graduate)	NA	NA	NA	NA	Improving data management and project organization	Developing a data management and analysis plan	NA	NA	NA	NA	NA	NA	NA	Weekly	Daily	I'm equally confident now	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Somewhat Agree	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	Neutral	Neutral	Agree	Agree	Neutral	Agree	NA	NA	NA	NA	I did not go back to any of the workshop materials	NA	NA	I took another virtual R course	I learned some of the commonalities between coding languages, allowing me to learn more of them.	NA	NA
153	8	2021-10-05T13:12:32Z	2021-10-05T13:21:03Z	IP Address	100	511	TRUE	2021-10-05T13:21:04Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	Tuesday, June 29, 2021 - In Person	NA	NA	NA	NA	NA	NA	NA	PhD	Academic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	NA	NA	I had not been using tools like these	Less than once a in the last 6 months	I'm equally confident now	Strongly Agree	Strongly Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I could struggle through, but not confident I could do it	I wouldn’t know where to start	I wouldn’t know where to start	I wouldn’t know where to start	Disagree	Strongly agree	Disagree	Disagree	Disagree	Disagree	NA	NA	NA	NA	I did not go back to any of the workshop materials	NA	NA	I was unable to attend the second day. On the first day, I had issues with my computer early on, and was thus unable to follow hands-on	interested in learning more, but specific to RNA-seq analysis only	NA	I wasn't able to attend all of the workshop, but would very much like to attend a workshop specificially geared to RNA-seq analysis!!!!
154	10	2021-10-08T18:39:03Z	2021-10-08T18:49:03Z	IP Address	100	599	TRUE	2021-10-08T18:49:03Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	NA	NA	NA	NA	NA	Tuesday, June 29, 2021 - Virtual	NA	NA	NA	NA	NA	NA	PhD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Improving data management and project organization	Developing a data management and analysis plan	Transforming step-by-step workflows into scripts	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	Less than once a per half-year	Weekly	I'm more confident now	Strongly Agree	Agree	Strongly Agree	Somewhat Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Agree	Agree	Somewhat Agree	Neither Agree nor Disagree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I wouldn’t know where to start	Agree	Agree	Agree	Agree	Agree	Agree	I went back to the code I wrote for reference	I went back to the code the instructor posted for reference	NA	I went back to the online written materials for reference	NA	NA	NA	NA	tidyverse is very useful. Saving R scripts is very useful	I've done some new analysis on an RNAseq dataset	NA
155	11	2021-10-10T15:22:51Z	2021-10-10T15:29:33Z	IP Address	100	402	TRUE	2021-10-10T15:29:34Z	Yes. I am 18 years of age or older.	Yes. I have read the consent form and this response will serve as my consent to participate in the research study.	Tuesday, October 20, 2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Analyst	NA	NA	NA	NA	NA	NA	NA	NA	Improving data management and project organization	Developing a data management and analysis plan	Transforming step-by-step workflows into scripts	Using programming languages like R or Python to automate repetitive tasks	Reusing code	NA	NA	NA	NA	Several times per half-year	Several times in the last 6 months	I'm more confident now	Agree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	Somewhat Agree	Strongly Agree	Somewhat Agree	Somewhat Agree	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could do it quickly with little or no use of external help	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	I could struggle through by trial and error with a lot of web searches	Neutral	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	I went back to the code I wrote for reference	NA	NA	I went back to the online written materials for reference	NA	NA	NA	To check what I learned and see how to use it in my analysis	I could use the functions I had problem with	I am now able to apply the functions	NA
